Parameter,Details & Write-up,Questions to Ask (craft and probe),Level 1: Basic,Level 2: Intermediate,Level 3: Proficient,Level 4: Expert
Together we create magic! → Sensitivity to stakeholder needs,"Understands and integrates customer, vendor, colleague, and societal expectations into day-to-day choices and strategy; adapts communication and follow-through to context.",1) Describe a recent situation where two stakeholder groups had conflicting needs—what trade-off did you make and why? 2) How did you change your communication for each audience? 3) What feedback did you collect and how did it alter your plan?,Listens when concerns are raised but inconsistent follow-through; communication style unchanged across audiences.,Acknowledges perspectives; accommodates reasonable requests; sometimes adjusts approach based on feedback.,Maintains regular dialogue to surface deeper needs; actively seeks and applies feedback for mutual benefit.,Consistently integrates stakeholder interests into decisions/strategy; mentors others to solicit and act on stakeholder feedback.
Together we create magic! → Transparent knowledge sharing,"Builds trust and velocity by openly sharing insights, lessons, artifacts; creates channels that enable bidirectional knowledge flow.",1) What reusable insight or artifact did you share in the last month? 2) Where do teammates find it? 3) How did you encourage others to contribute back?,Shares only when prompted; perceived as protective of expertise.,Shares relevant updates/resources when directly applicable; responds positively to requests.,Proactively initiates best-practice exchanges; creates space for others’ perspectives.,"Acts as cross-team “knowledge hub”; champions systems (forums, shared docs) that institutionalize open learning."
Together we create magic! → Acknowledges learning milestones,"Normalizes learning by celebrating wins, openly discussing failures, and extracting explicit takeaways; rewards effort, not just outcomes.","1) What small win did you recognize recently and how? 2) Describe a failure you debriefed—what was learned, what changed? 3) How do you ensure effort is seen and rewarded?",Focus on task completion; moves past wins/failures without reflection.,Recognizes milestones when prompted; occasionally shares takeaways.,Routinely celebrates successes; invites open discussion of failures; encourages learning from mistakes.,Treats successes and setbacks as engines for growth; mentors others to value effort and learning equally with results.
Passionate Go-getters → Ambitious goals & initiative,Sets/stretch goals aligned to business impact; takes responsibility beyond formal scope; drives outcomes.,1) What was your last stretch goal and why was it bold? 2) What did you initiate that wasn’t assigned? 3) How did it change a key metric?,Completes assigned work; avoids additional scope unless asked.,Sets personal goals aligned to team; volunteers occasionally.,"Regularly sets stretch goals; identifies and acts on opportunities beyond role, owns results.","Champions bold, high-impact goals tied to strategy; leads org-benefit initiatives and inspires others."
Passionate Go-getters → Engagement under setbacks,"Sustains energy, problem-solving, and team morale through ambiguity, pressure, and failure.",1) Describe a tough phase—what did you do to keep progress and morale? 2) What rituals/tools keep you engaged during headwinds?,Shows frustration/detachment; needs close supervision during setbacks.,Performs core responsibilities; needs support to regain focus.,Maintains productivity and positive attitude; engages in problem-solving; supports team morale.,Sustains high engagement and composure during prolonged setbacks; models resilience and helps the team navigate positively.
Passionate Go-getters → Advocates company values,"Communicates mission, values, achievements with visible energy; builds pride and belonging in and beyond the company.",1) When did you last promote our values externally? 2) What story do you use to illustrate our culture? 3) How do you tailor the message by audience?,Rarely speaks about values or achievements; appears indifferent.,Shares positives when prompted; polite enthusiasm.,Speaks passionately about mission/values in internal & external forums; shares vivid success stories.,Uses every forum to amplify culture/values; creates emotionally engaging environments that build pride/belonging.
Best Talent Only → Growth mindset & learning,Pursues and applies new skills; converts learning into visible improvement; supports others’ development.,1) Which skill did you acquire in the last quarter and where has it changed your work? 2) What learning plan do you own for the next 90 days? 3) How have you enabled a peer’s learning?,Relies on existing knowledge; treats learning as obligation.,Applies some new learning inconsistently; growth is reactive.,Regularly applies new skills; takes ownership of development.,Translates learning into innovation and measurable improvements; inspires/supports others’ learning journeys.
Best Talent Only → Outcome focus amid ambiguity,Maintains results orientation; reframes uncertainty into experiments and decisions; adapts plans without losing objectives.,1) Describe a time plans changed mid-stream—what outcome did you preserve and how? 2) What signals told you to pivot?,Performance affected by confusion; loses track when plans change.,Works toward goals but momentum dips during change; needs help to reprioritize.,Treats ambiguity with a solutions mindset; adapts plans and methods while staying result-focused.,Anticipates change; confidently reorients and guides others to remain outcome-focused.
Best Talent Only → Develops others (potential & gaps),"Spots strengths/aspirations; gives candid, frequent feedback; creates coaching and growth opportunities.",1) Who are your top potential bets and why? 2) What feedback did you give last week and what follow-up exists? 3) Which opportunities map to each person’s gap?,Focus on current output; avoids developmental feedback.,Acknowledges obvious potential; provides ad-hoc support when asked.,Proactively observes strengths/gaps; delivers regular feedback and aligned opportunities/coaching.,Builds personalized development plans; champions growth beyond current role; serves as mentor/talent advocate.
Team of Equals → Fairness & inclusion,"Demonstrates equity across religion, gender, region, age, role; invites diverse perspectives; ensures equal access.",1) How did you ensure equal participation in your last meeting? 2) What decision improved inclusion and how do you measure it?,Operates on stereotypes; avoids engaging across differences.,Sometimes biased/unbalanced participation; needs reminders.,Fair and stereotype-free behavior; welcomes diverse viewpoints; collaborates inclusively.,Proactively builds an inclusive culture; mentors others; champions diversity initiatives.
